PARTICIPANT,AGE,GENDER,COMPLETE,KNOW,GeneralFear,GeneralEnjoyment,Play,RecallScientist,FearScientist,EnjoymentScientist,RecallPiggy,FearPiggy,EnjoymentPiggy,RecallZombies,FearZombies,EnjoymentZombies,FearRankingScientist,FearRankingPiggy,FearRankingZombies,EnjoymentRankingScientist,EnjoymentRankingPiggy,EnjoymentRankingZombies,VisitedAttractionBeforeThisYear,VisitedLastYearsAttraction,HorrorConsumption,ConsumerSatisfaction
85,30,1,1,82/83/84,6,9,7,1,2,6,1,3,7,1,3,5,1,2,3,2,1,3,0,0,2,9
84,28,2,1,83/85/82,6,7,4,1,3,4,1,9,3,1,1,2,2,1,3,2,3,1,0,0,0,8
82,28,2,1,83/84/85,6,9,8,1,5,7,1,8,9,1,1,5,2,1,3,2,1,3,0,0,2,8
87,27,2,1,88/86,2,7,2,1,2,3,1,5,7,1,2,3,2,1,3,1,2,3,0,0,6,7
86,34,2,1,87/88,3,3,2,0,0,2,1,3,2,1,0,3,3,1,2,3,1,2,0,0,7,3
97,39,2,1,100/98/99/101,9,9,8,0, , ,1,9,9,1,6,7,2,1,3,2,1,3,0,0,5,9
100,33,2,1,97/98/99/101,9,9,9,1,4,7,1,9,9,1,3,2, , , , , , ,1,0,7,9
101,35,2,1,100/99/98/97,9,9,9,1,8,8,1,9,9,1,7,7,1,2,3,1,2,3,0,0,1,9
99,33,2,1,97/98/199/101,8,9,8,1,9,8,1,9,9,1,6,7,2,1,3,2,1,3, , , , 
98,28,2,1,97/99/100/101,9,9,7,1,4,6,1,9,9,1,1,6,2,1,3,2,1,3,1,0,2,9
107,35,1,1,110,5,9,5,0,5,5,1,0,0,1,0,0,2,1,3,2,1,3,0,0,2,9
110,39,1,1,107,4,9,7,1,1,9,1,1,9,1,3,9,3,1,2,3,1,2,0,0,1,9
109,34,2,1,108,0,0,7,1,4,5,1,9,0,1,3,3,2,1,3,2,1,3,0,0,1,9
108,35,2,1,109,7,9,9,1,0,2,1,8,9,1,5,3,3,1,2,3,1,2,0,0,7,9
106,24,2,1,102/103/104/105,3,6,4,1,4,2,1,4,4,1,4,4,3,2,1,3,2,1,0,0,2,9
102,30,2,1,103/104/105/106,7,4,8,1,4,5,1,3,8,1,4,6,2,1,3,2,1,3,0,0,0,9
104,33,1,1,102/103/105/106,6,9,7,1,8,3,1,9,1,1,2,2,2,1,3,1,2,3,0,0,4,8
105,37,1,1,102/103/104/106,7,6,6,1,3,6,1,2,7,1,3,6,1,2,3,3,1,2,0,0,3,7
103,33,1,1,102/104/105/106,3,7,7,1,3,6,1,4,7,1,3,7,3,2,1,2,1,3,0,0,2,8
95,22,1,1,93/94/96,3,7,8,0, , ,1,5,7,1,4,7,3,1,2,3,1,2,0,0,6,8
93,22,2,1,94/95/96,6,9,8,1,3,5,1,8,9,1,3,5,2,1,3,2,1,3,0,0,6,9
94,16,1,1,93/95/96,4,9,6,1,4,5,1,3,7,1,4,5,2,1,3,2,1,3,0,0,3,8
96,18,1,1,93/94/95,5,8,9,1,5,9,1,9,0,1,7,7,1,2,3,3,2,1,0,0,0,7
91,21,1,1,89/90/92,5,7,6,0, , ,1,6,6,1,5,5, , , , , , ,0,0,2,8
89,22,2,1,90/91/92,6,2,4,1,7,0,1,6,1,1,3,1,2,1,3,2,3,1,0,0,1,7
92,26,1,1,89/90/91,6,7,9,1,5,0,1,7,1,1,6,0,2,1,3,2,3,1,0,0,2,8
90,23,2,1,89/91/92,9,1,8,1,9,0,1,9,9,1,8,0, , , ,3,2,1,0,0,1,5
111,37,2,1,112/113,9,9,9,1,9,9,1,9,9,0, , ,1,2,3,1,2,3,0,0,5,9
112,35,2,1,111/113,9,9,9,1,9,9,1,9,9,0,1, ,1,2,3,1,2,3,0,1,0,9
113,39,2,1,111/112,1,9,4,1,1,9,1,1,7,1,0,7,1,2,3,1,2,3, , , , 
