ID,UserLanguage,Age,Gender,Educ,Educ_Mom,Country,Isolation,COVID_Concerns,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,COVID_Compliance,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,Compliance_6
237,IT,65,Female,Up to 12 years of school,Up to 9 years of school,Italy,2,13,3,3,3,3,1,24,5,6,5,3,2,3,3
238,BG,40,Female,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,1,22,4,4,4,5,5,26,6,4,4,4,4,4,4
239,IT,31,Female,"College degree, bachelor, master",College degree,Italy,NA,24,5,4,4,6,5,32,6,6,6,4,5,5,5
240,BG,66,Female,"College degree, bachelor, master",Some College or equivalent,Bulgaria,1,30,6,6,6,6,6,26,5,5,5,4,2,5,5
241,SME,52,Female,NA,Some College or equivalent,Mexico,1,9,3,3,1,1,1,16,1,5,5,3,1,1,1
242,IT,31,Female,"College degree, bachelor, master",Some College or equivalent,Italy,NA,27,4,5,6,6,6,22,4,5,5,2,3,3,3
243,BG,51,Female,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,0,14,4,5,5,NA,NA,22,5,5,5,2,4,1,1
244,IT,27,Male,Up to 12 years of school,Up to 12 years of school,Italy,1,25,5,5,5,5,5,27,5,6,5,1,5,5,5
245,IT,28,Female,"College degree, bachelor, master",Up to 12 years of school,Italy,NA,21,2,4,4,5,6,24,5,5,4,3,3,4,4
246,IT,65,Female,Up to 9 years of school,Up to 9 years of school,Italy,NA,15,3,3,3,3,3,24,5,5,5,2,4,3,3
247,BG,66,Female,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,1,21,4,5,4,4,4,25,5,5,4,6,2,3,3
249,SME,48,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Mexico,4,20,5,5,5,1,4,21,5,5,5,1,5,NA,NA
250,EN,37,Female,PhD/Doctorate,College degree,Sweden,1,26,6,6,5,5,4,12,1,1,1,1,2,6,6
251,SME,36,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Mexico,4,5,1,1,1,1,1,26,6,6,5,4,3,2,2
252,RO,26,Female,"College degree, bachelor, master",Up to 12 years of school,Romania,3,14,1,5,3,3,2,23,5,4,5,3,3,3,3
253,IT,29,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Italy,2,22,3,5,4,5,5,25,5,5,5,4,3,3,3
254,RU,21,Female,"College degree, bachelor, master",College degree,Russia,7,17,3,3,3,4,4,24,4,4,4,4,4,4,4
255,SME,39,Male,"Some College, short continuing education or equivalent",None,Mexico,1,25,5,6,6,5,3,22,3,5,6,4,2,2,2
256,BG,69,Female,"College degree, bachelor, master",College degree,Bulgaria,0,29,6,6,5,6,6,24,6,6,6,1,4,1,1
257,SV,28,Female,"College degree, bachelor, master",College degree,Sweden,NA,21,3,4,4,5,5,23,4,4,4,4,3,4,4
258,FI,47,Female,"College degree, bachelor, master",Up to 12 years of school,Finland,NA,19,2,4,1,6,6,26,6,5,5,3,4,3,3
259,RO,31,Male,"College degree, bachelor, master",Up to 12 years of school,France,0,28,6,6,6,5,5,29,5,6,6,4,4,4,4
261,IT,51,Female,"College degree, bachelor, master",Some College or equivalent,Italy,NA,23,2,5,5,6,5,27,5,6,6,4,3,3,3
262,BG,63,Female,NA,NA,Bulgaria,1,9,2,1,1,1,4,25,5,5,5,4,2,4,4
263,FI,33,Male,"College degree, bachelor, master",Up to 12 years of school,Finland,0,19,6,5,4,2,2,15,1,5,5,2,1,1,1
264,SV,39,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Sweden,2,30,6,6,6,6,6,25,5,6,6,2,1,5,5
265,SME,22,Female,"College degree, bachelor, master",Up to 12 years of school,Mexico,3,25,5,5,5,5,5,31,6,6,6,4,4,5,5
266,RO,39,Female,"College degree, bachelor, master",Up to 12 years of school,Romania,NA,11,2,2,2,2,3,28,6,6,6,2,4,4,4
267,RO,49,Female,"College degree, bachelor, master",Up to 12 years of school,Romania,NA,24,5,5,5,5,4,26,5,5,5,3,4,4,4
268,SME,44,Female,"College degree, bachelor, master",None,Mexico,2,30,6,6,6,6,6,25,NA,6,6,1,6,6,6
269,BG,65,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Bulgaria,0,20,4,4,4,4,4,27,5,5,5,4,4,4,4
270,LT,22,Male,"Some College, short continuing education or equivalent",College degree,Lithuania,0,15,1,3,2,4,5,21,2,3,3,4,5,4,4
271,SAR,25,Male,"Some College, short continuing education or equivalent",Up to 9 years of school,Argentina,1,21,2,6,4,6,3,25,5,5,5,4,4,2,2
272,BG,58,Female,Up to 12 years of school,NA,Bulgaria,1,9,NA,5,NA,4,NA,23,5,4,5,3,4,2,2
273,EN,38,Male,"College degree, bachelor, master",Some College or equivalent,Norway,NA,21,2,4,5,6,4,27,5,5,6,1,4,6,6
274,RO,33,Female,"College degree, bachelor, master",Up to 12 years of school,Romania,NA,20,4,4,4,4,4,26,6,6,5,3,3,3,3
275,EN,36,Male,PhD/Doctorate,College degree,Sweden,1,26,5,5,5,6,5,25,6,6,6,1,2,4,4
276,BG,45,Female,"College degree, bachelor, master",College degree,Bulgaria,4,21,3,4,4,5,5,20,5,4,5,2,3,1,1
277,BG,50,Female,Up to 12 years of school,Up to 12 years of school,Bulgaria,1,13,1,3,3,3,3,22,4,5,5,4,3,1,1
278,SME,32,Male,"College degree, bachelor, master",Up to 9 years of school,Mexico,2,23,5,5,5,4,4,24,5,5,5,1,4,4,4
279,LT,43,Male,"College degree, bachelor, master",Up to 12 years of school,Lithuania,NA,25,5,5,5,5,5,27,5,5,5,4,4,4,4
280,EN,52,Male,"Some College, short continuing education or equivalent",Some College or equivalent,United Kingdom,0,27,6,5,6,5,5,28,4,5,5,4,5,5,5
281,LT,57,Female,PhD/Doctorate,PhD/Doctorate,Lithuania,1,25,5,5,5,5,5,25,2,5,5,5,3,5,5
282,SME,28,Female,"College degree, bachelor, master",College degree,Mexico,4,22,5,6,3,5,3,25,4,6,6,3,2,4,4
283,SME,51,Female,"College degree, bachelor, master",College degree,Mexico,4,21,5,6,5,5,NA,28,6,5,5,3,5,4,4
284,SME,39,Male,PhD/Doctorate,College degree,Mexico,1,16,3,1,4,5,3,21,5,4,4,3,3,2,2
285,SME,33,Female,PhD/Doctorate,College degree,Mexico,1,26,5,6,5,5,5,20,NA,6,6,1,3,4,4
286,SME,21,Female,"Some College, short continuing education or equivalent",None,Mexico,2,30,6,6,6,6,6,27,5,5,5,2,6,4,4
288,LT,53,Female,PhD/Doctorate,College degree,Lithuania,NA,28,5,6,5,6,6,28,5,5,4,3,5,6,6
289,SAR,22,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Argentina,NA,23,5,5,5,4,4,26,6,6,6,2,5,1,1
291,RO,31,Female,"College degree, bachelor, master",Some College or equivalent,Romania,1,22,4,6,4,4,4,27,6,6,6,1,4,4,4
292,BG,60,Female,Up to 12 years of school,Some College or equivalent,Bulgaria,1,5,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,6
293,SME,18,Male,"College degree, bachelor, master",Up to 12 years of school,Mexico,2,30,6,6,6,6,6,25,4,4,5,6,4,2,2
295,SV,45,Female,"College degree, bachelor, master",Up to 12 years of school,Sweden,0,28,6,6,5,6,5,29,6,6,6,4,3,4,4
296,SAR,59,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Argentina,0,28,6,6,6,5,5,30,6,6,5,5,5,3,3
297,SAR,31,Female,"Some College, short continuing education or equivalent",College degree,Argentina,1,30,6,6,6,6,6,22,6,6,6,1,1,2,2
299,SME,32,Female,"College degree, bachelor, master",Up to 12 years of school,Brazil,1,23,5,6,4,4,4,27,6,6,6,3,2,4,4
301,SAR,19,Female,"College degree, bachelor, master",Some College or equivalent,Argentina,4,29,5,6,6,6,6,21,6,4,2,2,2,5,5
302,BG,37,Female,"College degree, bachelor, master",College degree,Bulgaria,0,21,2,4,5,5,5,22,6,5,5,2,3,1,1
303,RO,66,Female,"College degree, bachelor, master",Up to 6 years of school,Romania,0,5,1,1,1,1,1,29,6,6,6,6,4,1,1
304,SME,62,Female,"College degree, bachelor, master",None,Mexico,3,21,5,5,4,4,3,25,6,5,5,5,2,2,2
305,SAR,28,Female,"Some College, short continuing education or equivalent",College degree,Argentina,1,12,2,2,2,3,3,30,5,6,6,4,5,4,4
306,SME,58,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,2,27,6,6,5,6,4,28,5,5,6,5,5,2,2
307,SV,50,Female,PhD/Doctorate,College degree,Sweden,0,20,2,4,4,5,5,24,6,6,5,2,3,2,2
308,SAR,54,Female,NA,NA,Argentina,2,9,NA,NA,5,1,3,31,6,6,6,2,6,5,5
309,SME,49,Female,PhD/Doctorate,College degree,Mexico,0,24,4,5,5,5,5,27,4,6,6,4,4,3,3
311,SME,46,Female,Up to 9 years of school,Up to 6 years of school,Mexico,4,30,6,6,6,6,6,27,6,6,6,1,5,3,3
312,SME,52,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,NA,25,5,5,5,5,5,26,5,5,5,4,5,2,2
313,SME,19,Male,"Some College, short continuing education or equivalent",College degree,Mexico,4,23,4,6,4,4,5,24,5,5,5,3,4,2,2
316,SAR,56,Female,"College degree, bachelor, master",Some College or equivalent,Argentina,2,26,6,6,4,5,5,23,6,6,6,1,2,2,2
317,SAR,43,Female,Up to 12 years of school,Up to 12 years of school,Argentina,2,28,5,6,6,6,5,25,5,5,5,2,5,3,3
318,SME,60,Male,"Some College, short continuing education or equivalent",NA,Mexico,1,25,5,5,5,5,5,24,5,6,6,1,5,1,1
319,SAR,26,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Argentina,3,28,6,6,6,5,5,26,4,6,6,5,1,4,4
321,SAR,68,Female,NA,Some College or equivalent,Argentina,1,23,3,5,5,5,5,25,5,5,5,2,3,5,5
322,SAR,18,Female,"Some College, short continuing education or equivalent",PhD/Doctorate,Argentina,NA,19,3,3,3,5,5,16,2,2,3,4,3,2,2
323,SAR,32,Female,Up to 12 years of school,Up to 12 years of school,Argentina,1,27,6,6,6,6,3,31,6,6,6,1,6,6,6
324,SAR,47,Male,"College degree, bachelor, master",Some College or equivalent,Argentina,3,5,1,1,1,1,1,21,4,4,1,6,4,2,2
325,SME,47,Female,PhD/Doctorate,Up to 6 years of school,Mexico,1,9,5,1,1,1,1,26,6,6,5,2,5,2,2
326,SME,20,Female,"College degree, bachelor, master",Up to 12 years of school,Panama,3,30,6,6,6,6,6,34,6,6,6,5,6,5,5
327,SAR,53,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Argentina,0,23,6,NA,6,6,5,25,5,6,6,6,1,1,1
328,SME,64,Female,PhD/Doctorate,Up to 9 years of school,Mexico,2,29,6,6,6,6,5,30,6,6,6,5,5,2,2
329,SME,54,Male,"College degree, bachelor, master",Up to 9 years of school,Mexico,0,9,1,2,2,2,2,26,6,6,6,2,4,2,2
330,SME,54,Female,PhD/Doctorate,College degree,Mexico,0,19,5,4,4,3,3,25,6,5,5,2,3,4,4
331,SME,28,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,2,30,6,6,6,6,6,22,6,NA,6,4,4,2,2
332,SME,63,Female,None,None,Mexico,0,25,5,5,5,5,5,26,5,5,5,1,5,5,5
333,SAR,50,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,2,17,3,3,4,4,3,25,4,5,5,3,4,4,4
334,SME,66,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,0,23,5,5,4,5,4,25,5,5,5,2,5,3,3
335,SME,25,Male,"College degree, bachelor, master",PhD/Doctorate,Panama,3,25,5,6,5,5,4,26,5,6,5,2,4,4,4
336,SAR,55,Female,"College degree, bachelor, master",Up to 12 years of school,Argentina,4,15,4,4,3,4,NA,26,5,6,6,1,5,3,3
337,SAR,45,Other/would rather not say,"College degree, bachelor, master",College degree,Argentina,1,18,4,4,4,4,2,21,1,5,5,5,4,1,1
338,SME,21,Female,"College degree, bachelor, master",Up to 12 years of school,Panama,6,28,6,6,6,5,5,25,5,6,5,2,5,2,2
339,SAR,35,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,7,24,2,6,4,6,6,28,5,6,5,5,5,2,2
340,SME,60,Male,"College degree, bachelor, master",Up to 6 years of school,Mexico,0,23,4,5,4,5,5,22,5,4,5,4,3,1,1
341,SAR,73,Female,"College degree, bachelor, master",Some College or equivalent,Argentina,2,25,5,5,5,5,5,24,5,4,6,2,5,2,2
342,SME,24,Male,"Some College, short continuing education or equivalent",College degree,Mexico,1,24,5,5,5,5,4,22,5,5,5,3,2,2,2
343,SME,47,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,2,23,4,6,4,5,4,28,6,5,4,5,2,6,6
344,SME,31,Male,"College degree, bachelor, master",College degree,Mexico,0,25,5,6,5,5,4,25,5,6,6,1,5,2,2
345,SAR,71,Male,Up to 12 years of school,Up to 6 years of school,Argentina,0,30,6,6,6,6,6,31,6,6,6,1,6,6,6
346,SME,39,Female,PhD/Doctorate,College degree,Mexico,1,30,6,6,6,6,6,30,6,6,6,5,6,1,1
347,SME,25,Male,"College degree, bachelor, master",Up to 12 years of school,Mexico,2,30,6,6,6,6,6,21,6,6,6,1,1,1,1
348,EN,19,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,United Kingdom,3,22,4,4,4,5,5,27,6,5,5,5,3,3,3
349,SAR,31,Male,"College degree, bachelor, master",Some College or equivalent,Argentina,1,9,1,2,2,2,2,27,5,4,4,6,5,3,3
350,SME,31,Male,"Some College, short continuing education or equivalent",Up to 6 years of school,Mexico,4,26,5,6,5,5,5,27,4,5,5,4,5,4,4
351,SAR,50,Male,PhD/Doctorate,College degree,Argentina,1,24,4,6,5,5,4,27,5,5,5,5,5,2,2
352,SME,67,Female,PhD/Doctorate,Up to 12 years of school,Mexico,1,30,6,6,6,6,6,17,5,5,4,1,1,1,1
354,SME,24,Female,"College degree, bachelor, master",College degree,Panama,3,15,3,3,3,3,3,18,3,3,3,3,3,3,3
355,EN,35,Female,PhD/Doctorate,College degree,Australia,1,18,4,4,4,3,3,23,4,5,6,1,3,4,4
356,SME,23,Male,"Some College, short continuing education or equivalent",PhD/Doctorate,Mexico,3,20,5,NA,5,5,5,22,5,5,4,1,3,4,4
357,SAR,55,Female,Up to 12 years of school,Up to 6 years of school,Argentina,1,15,1,5,5,2,2,19,5,1,5,2,5,1,1
358,SME,51,Female,Up to 12 years of school,Up to 12 years of school,Mexico,3,23,5,5,4,5,4,20,5,5,1,3,4,2,2
359,EN,48,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,United Kingdom,2,23,6,6,5,6,NA,28,5,6,6,1,6,4,4
360,SME,43,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,1,25,5,5,5,5,5,24,5,5,5,2,5,2,2
361,EN,24,Other/would rather not say,"College degree, bachelor, master",College degree,Sweden,NA,20,2,5,3,5,5,18,4,2,2,4,4,2,2
362,SV,40,Female,"College degree, bachelor, master",Some College or equivalent,Sweden,1,25,4,5,4,6,6,27,6,5,5,4,1,6,6
363,SAR,28,Female,"College degree, bachelor, master",Up to 12 years of school,Argentina,0,19,2,5,5,4,3,26,5,5,5,5,4,2,2
364,SAR,76,Male,"Some College, short continuing education or equivalent",Up to 6 years of school,Argentina,0,23,2,6,5,5,5,24,5,6,5,2,3,3,3
366,FR,52,Female,Up to 12 years of school,Up to 12 years of school,France,3,30,6,6,6,6,6,27,5,6,6,2,4,4,4
367,SV,43,Male,"College degree, bachelor, master",College degree,Sweden,2,21,5,5,5,3,3,23,2,6,6,5,2,2,2
368,SME,44,Male,PhD/Doctorate,College degree,Mexico,NA,21,5,6,NA,5,5,25,5,5,5,5,3,2,2
369,SME,48,Male,"College degree, bachelor, master",Up to 9 years of school,Mexico,1,30,6,6,6,6,6,27,6,5,5,3,3,5,5
370,RO,31,Female,"College degree, bachelor, master",Up to 12 years of school,Romania,5,28,5,6,6,6,5,20,3,4,4,3,3,3,3
371,SME,19,Female,"College degree, bachelor, master",Up to 6 years of school,Panama,3,23,5,6,4,4,4,29,6,5,4,6,3,5,5
373,SME,29,Male,"Some College, short continuing education or equivalent",PhD/Doctorate,Panama,4,30,6,6,6,6,6,23,5,6,4,2,5,1,1
375,BG,53,Female,"College degree, bachelor, master",College degree,Bulgaria,0,20,4,3,4,5,4,13,3,1,1,6,1,1,1
376,BG,60,Female,Up to 12 years of school,Up to 12 years of school,Bulgaria,NA,18,2,4,4,4,4,22,6,4,5,1,4,2,2
377,RO,27,Female,"College degree, bachelor, master",Some College or equivalent,Romania,NA,11,1,1,1,4,4,25,6,6,6,1,2,4,4
378,SAR,21,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Argentina,NA,27,5,5,5,6,6,31,6,6,6,3,6,4,4
379,SAR,35,Female,Up to 12 years of school,None,Argentina,1,15,5,3,4,NA,3,28,5,6,6,4,4,3,3
381,SME,20,Male,"College degree, bachelor, master",PhD/Doctorate,Panama,0,8,1,1,1,1,4,11,1,1,1,3,3,2,2
382,BG,50,Female,Up to 12 years of school,PhD/Doctorate,Bulgaria,1,28,6,6,6,5,5,26,5,5,6,4,3,3,3
384,IT,57,Female,"College degree, bachelor, master",Up to 9 years of school,Italy,NA,24,4,5,5,5,5,24,5,5,4,4,4,2,2
386,SV,35,Female,"College degree, bachelor, master",Some College or equivalent,Sweden,0,30,6,6,6,6,6,26,6,6,6,5,1,2,2
387,BG,62,Female,"College degree, bachelor, master",None,Bulgaria,1,22,4,5,4,4,5,28,6,6,6,2,4,4,4
388,SME,19,Female,"College degree, bachelor, master",College degree,Panama,2,28,4,6,6,6,6,26,5,6,6,4,2,3,3
389,EN,21,Female,"College degree, bachelor, master",Some College or equivalent,United Kingdom,3,26,5,5,5,6,5,22,4,5,5,2,5,1,1
390,IT,33,Female,None,Up to 12 years of school,Italy,NA,18,2,4,4,4,4,23,4,5,5,2,4,3,3
391,BG,58,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Bulgaria,0,25,5,5,5,5,5,13,6,2,2,2,NA,1,1
392,BG,64,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Bulgaria,0,11,1,2,2,1,5,20,6,5,NA,4,5,NA,NA
393,RO,27,Female,"College degree, bachelor, master",Up to 12 years of school,Romania,1,24,5,5,4,5,5,25,6,6,6,2,3,2,2
395,SME,42,Female,"College degree, bachelor, master",Up to 6 years of school,Panama,2,26,5,5,5,6,5,30,6,6,6,5,5,2,2
397,SME,52,Other/would rather not say,"College degree, bachelor, master",Some College or equivalent,Mexico,NA,25,1,6,6,6,6,26,4,6,6,6,2,2,2
398,EN,47,Female,"College degree, bachelor, master",Some College or equivalent,United Kingdom,0,26,5,6,5,5,5,25,5,6,6,2,4,2,2
400,FR,19,Female,"Some College, short continuing education or equivalent",College degree,France,2,20,4,4,4,4,4,21,5,6,5,1,3,1,1
401,EN,31,Male,"College degree, bachelor, master",College degree,Sweden,3,27,6,6,4,5,6,26,6,5,6,3,3,3,3
402,BG,40,Male,"College degree, bachelor, master",Some College or equivalent,Bulgaria,4,29,5,6,6,6,6,19,4,5,5,1,2,2,2
403,BG,61,Female,Up to 12 years of school,College degree,Bulgaria,0,19,3,4,4,4,4,26,5,5,6,2,5,3,3
404,BG,60,Female,NA,NA,NA,2,4,4,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA
405,SV,54,Female,"Some College, short continuing education or equivalent",College degree,Sweden,1,28,6,6,6,6,4,26,6,6,4,3,2,5,5
406,SV,26,Female,"Some College, short continuing education or equivalent",College degree,Sweden,1,24,4,5,4,5,6,23,6,4,5,1,3,4,4
407,IT,34,Female,PhD/Doctorate,College degree,Sweden,NA,30,6,6,6,6,6,21,5,3,5,1,1,6,6
408,SV,18,Male,"Some College, short continuing education or equivalent",College degree,Sweden,2,18,2,5,2,5,4,21,6,5,4,2,3,1,1
409,BG,70,Female,"College degree, bachelor, master",College degree,Bulgaria,1,19,4,4,4,3,4,22,4,4,5,2,4,3,3
410,SME,51,Female,"College degree, bachelor, master",None,Mexico,4,21,5,5,5,6,NA,23,5,6,5,2,3,2,2
411,SAR,64,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,0,25,5,5,5,5,5,27,5,5,5,4,5,3,3
412,BG,67,Male,Up to 12 years of school,Up to 9 years of school,Bulgaria,0,22,4,4,4,5,5,29,6,6,5,6,5,1,1
413,SME,38,Female,PhD/Doctorate,PhD/Doctorate,Mexico,1,28,6,6,6,5,5,30,5,5,5,6,4,5,5
414,RO,27,Female,"College degree, bachelor, master",College degree,Romania,1,22,4,5,4,5,4,23,5,6,5,2,2,3,3
415,SME,30,Male,"Some College, short continuing education or equivalent",Some College or equivalent,Mexico,2,25,5,5,5,5,5,23,6,5,5,3,3,1,1
416,SV,18,Female,Up to 12 years of school,College degree,Sweden,NA,23,4,4,5,5,5,16,4,2,2,5,2,1,1
417,SV,32,Female,"College degree, bachelor, master",Up to 6 years of school,Sweden,NA,26,4,5,5,6,6,18,4,1,3,4,2,4,4
418,SME,31,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Panama,2,19,5,5,5,2,2,20,5,5,2,2,2,4,4
419,SME,18,Other/would rather not say,Up to 12 years of school,Up to 12 years of school,Mexico,2,25,4,6,5,5,5,25,5,5,6,2,5,2,2
421,SV,46,Male,"College degree, bachelor, master",Up to 12 years of school,Sweden,1,21,2,4,5,6,4,25,6,6,5,1,4,3,3
422,SME,36,Female,"College degree, bachelor, master",Up to 6 years of school,Panama,0,27,5,5,5,6,6,25,5,6,6,4,2,2,2
423,SME,34,Male,Up to 12 years of school,Up to 12 years of school,Mexico,2,24,6,6,4,4,4,20,5,6,6,1,1,1,1
424,SME,51,Female,"College degree, bachelor, master",Up to 6 years of school,Mexico,1,25,5,5,5,5,5,30,5,6,6,5,4,4,4
425,SV,53,Male,"College degree, bachelor, master",College degree,Hungary,1,25,6,5,4,4,6,28,6,6,6,1,3,6,6
426,SME,43,Male,"College degree, bachelor, master",College degree,Mexico,1,28,6,6,6,5,5,28,3,6,6,4,5,4,4
428,SAR,59,Female,Up to 12 years of school,None,Argentina,NA,14,3,3,3,2,3,28,2,6,5,6,6,3,3
429,SV,45,Female,"College degree, bachelor, master",Up to 12 years of school,Sweden,0,28,6,6,6,5,5,25,6,6,6,2,3,2,2
430,SME,51,Female,"College degree, bachelor, master",Up to 12 years of school,Mexico,4,30,6,6,6,6,6,21,5,5,5,2,2,2,2
431,BG,70,Female,"College degree, bachelor, master",College degree,Bulgaria,1,24,4,5,5,5,5,25,5,5,4,3,4,4,4
432,SME,21,Female,None,Up to 6 years of school,Panama,5,24,5,5,5,5,4,23,5,4,5,2,2,5,5
433,BG,47,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Bulgaria,0,16,4,4,4,NA,4,23,5,5,5,2,4,2,2
434,SME,51,Female,PhD/Doctorate,College degree,Panama,1,27,5,6,6,5,5,34,6,6,6,6,4,6,6
435,SME,56,Male,PhD/Doctorate,Up to 9 years of school,Panama,NA,22,5,5,5,5,2,18,5,1,1,5,5,1,1
436,SME,19,Female,"College degree, bachelor, master",College degree,Panama,2,30,6,6,6,6,6,29,6,6,6,1,4,6,6
437,SME,23,Female,"College degree, bachelor, master",Up to 6 years of school,Panama,1,23,2,6,5,5,5,25,5,6,5,2,3,4,4
438,EN,50,Female,"College degree, bachelor, master",Some College or equivalent,United Kingdom,1,6,1,2,1,NA,2,26,6,4,4,6,5,1,1
440,EN,51,Male,"College degree, bachelor, master",Up to 9 years of school,Norway,2,25,5,5,5,5,5,21,6,5,5,1,3,1,1
441,SME,32,Female,Up to 9 years of school,Up to 9 years of school,Mexico,4,24,5,6,5,4,4,26,6,5,5,1,4,5,5
442,RO,27,Female,"College degree, bachelor, master",Up to 12 years of school,Romania,0,15,2,5,2,3,3,22,6,6,5,2,2,1,1
443,SME,26,Male,Up to 9 years of school,Up to 6 years of school,Panama,0,22,4,4,5,4,5,23,5,5,5,1,5,2,2
444,SME,57,Female,"College degree, bachelor, master",Some College or equivalent,Mexico,1,25,5,5,5,5,5,36,6,6,6,6,6,6,6
445,SAR,58,Male,"Some College, short continuing education or equivalent",Up to 9 years of school,Argentina,4,19,2,5,5,3,4,30,5,6,5,5,5,4,4
446,SME,20,Female,Up to 12 years of school,None,Panama,3,25,5,5,5,5,5,30,5,5,4,6,4,6,6
447,SME,19,Female,"College degree, bachelor, master",College degree,Panama,5,24,5,5,4,5,5,23,2,6,5,4,3,3,3
448,SME,19,Female,"College degree, bachelor, master",College degree,Panama,2,27,6,6,5,5,5,29,6,5,5,4,4,5,5
449,SME,21,Female,"College degree, bachelor, master",PhD/Doctorate,Panama,2,29,6,6,6,6,5,34,5,6,6,6,5,6,6
450,SME,19,Female,Up to 12 years of school,College degree,Panama,2,27,5,6,6,5,5,24,5,6,6,2,3,2,2
451,SME,20,Female,"College degree, bachelor, master",College degree,Panama,3,23,6,NA,6,6,5,29,5,6,5,2,5,6,6
452,SME,41,Female,"College degree, bachelor, master",College degree,Panama,1,15,4,3,4,3,1,27,3,5,5,5,4,5,5
453,SME,51,Female,"Some College, short continuing education or equivalent",Up to 6 years of school,Mexico,4,30,6,6,6,6,6,22,5,6,5,2,2,2,2
454,SME,20,Female,"College degree, bachelor, master",PhD/Doctorate,Panama,1,24,5,6,5,3,5,26,4,6,6,2,4,4,4
455,SME,23,Male,"College degree, bachelor, master",Up to 12 years of school,Mexico,3,19,5,5,3,3,3,18,1,5,6,1,1,4,4
456,SME,51,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,4,10,2,2,2,2,2,28,6,5,6,2,4,5,5
458,BG,65,Female,PhD/Doctorate,Some College or equivalent,Bulgaria,NA,24,4,5,5,5,5,29,6,6,6,4,4,3,3
459,SME,18,Female,Up to 12 years of school,Up to 9 years of school,Mexico,1,30,6,6,6,6,6,26,4,6,6,3,3,4,4
460,SME,19,Female,"College degree, bachelor, master",None,Panama,NA,27,5,6,4,6,6,28,6,5,5,5,5,2,2
461,SME,51,Female,PhD/Doctorate,Up to 9 years of school,Mexico,0,30,6,6,6,6,6,25,5,6,6,2,2,4,4
462,SV,54,Female,"College degree, bachelor, master",PhD/Doctorate,Sweden,NA,27,6,6,5,5,5,29,6,6,6,2,4,5,5
463,BG,27,Female,"Some College, short continuing education or equivalent",College degree,Bulgaria,1,10,2,2,2,2,2,21,5,4,4,3,3,2,2
464,SME,52,Female,Up to 12 years of school,Up to 6 years of school,Mexico,1,25,6,1,6,6,6,32,6,6,5,4,6,5,5
465,SME,30,Male,"College degree, bachelor, master",Up to 12 years of school,Mexico,2,30,6,6,6,6,6,27,6,6,5,3,5,2,2
466,SME,51,Female,PhD/Doctorate,Up to 6 years of school,Mexico,1,30,6,6,6,6,6,21,2,5,6,2,2,4,4
467,SME,38,Female,"College degree, bachelor, master",College degree,Mexico,0,19,1,4,4,5,5,22,6,5,3,3,4,1,1
468,EN,38,Female,PhD/Doctorate,College degree,Sweden,1,26,5,6,5,5,5,23,6,5,6,1,3,2,2
469,SME,19,Male,Up to 9 years of school,College degree,Panama,2,26,5,6,5,5,5,26,5,5,5,4,5,2,2
470,SME,62,Female,PhD/Doctorate,College degree,Mexico,3,26,6,5,5,5,5,25,6,6,6,2,2,3,3
471,SV,55,Female,"College degree, bachelor, master",College degree,Sweden,0,30,6,6,6,6,6,24,6,6,6,2,1,3,3
472,SME,38,Female,"College degree, bachelor, master",College degree,Mexico,3,30,6,6,6,6,6,25,5,5,5,3,3,4,4
473,SME,29,Male,"College degree, bachelor, master",PhD/Doctorate,Mexico,1,26,5,6,5,6,4,22,6,4,4,2,2,4,4
